indic_na,unit,geo\time	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
B6N_U,PPCS_HAB,FR92	6949.5 	: 	8489.1 	8699.8 	9363.1 	: 	: 	: 	: 	: 	: 	: 
B6N_U,PPCS_HAB,FR93	5518.9 	: 	6808.8 	6978.6 	7139.3 	: 	: 	: 	: 	: 	: 	: 
B6N_U,PPCS_HAB,FR94	6622.2 	: 	7681.9 	7990.3 	8578.2 	: 	: 	: 	: 	: 	: 	: 
B6N_U,PPCS_HAB,GR11	6920.4 	7339.2 	7096.5 	8292.2 	8466.7 b	9247.5 	10033.7 	9579.1 	9619.0 	10956.7 	11398.6 	12362.0 
B6N_U,PPCS_HAB,GR12	7545.9 	7779.1 	7606.8 	8274.2 	7919.9 b	9110.8 	9733.0 	9515.2 	10957.5 	11874.0 	12324.2 	13345.6 
B6N_U,PPCS_HAB,GR13	12107.9 	13207.9 	13006.7 	13710.2 	13735.3 b	14844.9 	16062.4 	14737.1 	13041.8 	11804.4 	12014.5 	13125.5 
B6N_U,PPCS_HAB,GR14	8214.0 	8498.3 	8227.0 	9122.3 	8993.3 b	9887.6 	10715.4 	10464.6 	9894.0 	10923.4 	11440.1 	12666.4 
B6N_U,PPCS_HAB,GR21	8095.1 	8890.6 	8984.9 	9792.7 	9856.4 b	10827.6 	11615.3 	10547.6 	10124.0 	10753.0 	11273.6 	12584.3 
B6N_U,PPCS_HAB,GR22	8489.9 	9221.2 	9533.6 	10070.9 	10855.5 b	11361.0 	11981.2 	10788.3 	7636.4 	7495.6 	7454.1 	8553.9 
B6N_U,PPCS_HAB,GR23	7910.6 	8107.5 	8170.9 	9089.8 	8867.1 b	9977.6 	10735.8 	10121.7 	9298.4 	9878.7 	10356.8 	11461.9 
B6N_U,PPCS_HAB,GR24	8306.5 	10608.1 	10295.5 	11205.7 	11320.9 b	12601.1 	13642.4 	12843.9 	11484.3 	12516.3 	13165.2 	14686.8 
B6N_U,PPCS_HAB,GR25	7490.6 	7196.5 	7266.8 	7744.8 	7839.1 b	8486.0 	9145.5 	9108.3 	9434.8 	9955.7 	10530.4 	11732.5 
B6N_U,PPCS_HAB,GR30	9507.7 	9851.4 	10439.9 	11584.0 	11820.3 b	12915.5 	14033.7 	13828.8 	15277.1 	15673.4 	16501.7 	18251.2 
B6N_U,PPCS_HAB,GR41	7965.8 	7918.9 	8930.0 	9549.4 	10268.9 b	10504.0 	11202.1 	10778.1 	10116.4 	11117.4 	11945.4 	13834.2 
B6N_U,PPCS_HAB,GR42	7750.8 	8249.5 	8479.8 	9935.0 	11893.2 b	12535.1 	13321.7 	12292.0 	11876.5 	12341.4 	13394.0 	15280.4 
B6N_U,PPCS_HAB,GR43	9304.3 	9040.9 	9268.6 	9880.9 	10050.1 b	10654.1 	11415.2 	11194.6 	10252.3 	11317.1 	11966.2 	13415.6 
B6N_U,PPCS_HAB,HU10	: 	: 	: 	: 	7650.1 	8069.6 	9110.2 	9670.0 	10328.3 	11078.9 	10867.6 	10505.9 
B6N_U,PPCS_HAB,HU21	: 	: 	: 	: 	5366.0 	5954.1 	6438.1 	6476.1 	6594.3 	7178.9 	7870.0 	7897.9 
B6N_U,PPCS_HAB,HU22	: 	: 	: 	: 	5722.8 	6033.4 	6575.8 	6619.5 	6971.3 	7236.9 	7585.7 	7605.9 
B6N_U,PPCS_HAB,HU23	: 	: 	: 	: 	4690.3 	5044.4 	5657.9 	5854.8 	5784.7 	6279.1 	6792.2 	6903.8 
