geo\time	1994_1996 	1997_1999 	1998_2000 	1999_2001 	2000_2002 	2001_2003 	2002_2004 	2003_2005 	2004_2006 	2005_2007 	2006_2008 	2007_2009 
UKF3	738.5 	700.5 	692.6 	672.0 	655.9 	647.3 	646.8 	626.8 	610.9 	588.9 	: 	: 
UKG1	722.0 	686.7 	669.9 	656.0 	636.2 	627.9 	622.0 	616.7 	594.8 	573.5 	: 	: 
UKG2	764.8 	731.6 	723.0 	708.8 	693.2 	690.5 	684.8 	665.2 	637.9 	615.0 	: 	: 
UKG3	797.9 	761.8 	750.1 	737.6 	722.0 	720.2 	713.4 	698.1 	677.6 	656.4 	: 	: 
UKH1	677.5 	651.4 	641.7 	624.5 	613.3 	606.4 	600.2 	583.7 	562.2 	541.7 	: 	: 
UKH2	686.8 	669.3 	659.5 	650.3 	637.4 	630.1 	624.0 	607.0 	587.9 	562.6 	: 	: 
UKH3	703.0 	670.6 	662.0 	650.7 	633.9 	624.9 	616.5 	600.6 	579.6 	559.3 	: 	: 
UKI1	: 	745.2 	726.7 	720.7 	710.7 	707.2 	695.3 	672.5 	642.3 	612.2 	: 	: 
UKI2	: 	683.6 	670.6 	658.4 	643.9 	641.7 	633.0 	613.8 	586.4 	560.5 	: 	: 
UKJ1	683.2 	660.3 	650.2 	635.0 	616.4 	605.3 	596.1 	579.0 	559.7 	533.0 	: 	: 
UKJ2	659.3 	630.7 	616.6 	610.1 	597.3 	591.3 	584.1 	570.7 	553.7 	534.3 	: 	: 
UKJ3	693.8 	667.6 	649.8 	628.9 	613.8 	607.9 	603.4 	581.7 	555.9 	535.5 	: 	: 
UKJ4	723.0 	690.8 	676.4 	665.1 	649.9 	645.2 	640.4 	627.1 	603.6 	583.8 	: 	: 
UKK1	680.4 	653.2 	641.2 	632.3 	619.9 	615.9 	607.6 	589.8 	567.5 	548.9 	: 	: 
UKK2	650.6 	621.7 	610.4 	595.0 	585.7 	578.2 	573.8 	559.0 	536.4 	518.6 	: 	: 
UKK3	: 	656.2 	642.3 	632.1 	620.1 	607.0 	604.4 	589.4 	566.4 	553.7 	: 	: 
UKK4	: 	645.0 	639.0 	628.8 	616.4 	607.1 	601.4 	587.5 	563.7 	543.4 	: 	: 
UKL1	: 	765.7 	751.2 	738.7 	718.9 	715.2 	710.5 	694.0 	666.0 	647.5 	: 	: 
UKL2	: 	712.2 	697.7 	693.8 	681.9 	679.1 	669.9 	649.7 	623.8 	605.5 	: 	: 
